,url
0,https://doi.org/10.1614%2F0043-1745%282003%29051%5B0037%3AIORPAR%5D2.0.CO%3B2
1,https://doi.org/10.2307%2F25065934
2,https://doi.org/10.1614%2FWT-06-045.1
3,https://doi.org/10.1016%2Fj.quaint.2013.02.035
4,https://doi.org/10.2307%2F1309789
5,https://doi.org/10.1101%2F085472
6,https://doi.org/10.2307%2F3088717
7,https://doi.org/10.2307%2F3392049
8,https://doi.org/10.1600%2F036364418x697193
9,https://doi.org/10.3835%2Fplantgenome2015.07.0062
10,https://doi.org/10.1007%2Fs00122-018-3138-y
11,https://doi.org/10.11646%2Fphytotaxa.403.3.7
12,https://doi.org/10.3390%2Fnu6020575
13,https://doi.org/10.3390%2Fnu5114553
14,https://doi.org/10.1016%2Fj.tifs.2003.09.012
15,https://doi.org/10.1093%2Fjn%2F137.4.1097
16,https://doi.org/10.1002%2F9780470650172.ch7
17,https://doi.org/10.1007%2Fs10722-005-0036-3
18,https://doi.org/10.3389%2Ffpls.2016.00816
19,https://doi.org/10.17226%2F11763
20,https://doi.org/10.1016%2F0921-8009%2894%2900010-7
21,https://doi.org/10.1021%2Fjf010918p
22,https://doi.org/10.1093%2Fjxb%2Ferw156
23,https://doi.org/10.3732%2Fajb.94.12.1992
