,url
0,https://doi.org/10.1038%2Fnature11241
1,https://doi.org/10.1021%2Fjf991301z
2,https://doi.org/10.1021%2Fjf901788x
3,https://doi.org/10.1086%2F658682
4,https://doi.org/10.17348%2Fera.7.0.199-216
5,https://doi.org/10.1017%2FS0003598X00067934
6,https://doi.org/10.1002%2F9780470015902.a0020808.pub2
7,https://doi.org/10.1006%2Fjasc.1999.0447
8,https://doi.org/10.1016%2Fj.jas.2005.06.015
9,https://doi.org/10.1080%2F01140670709510186
10,https://doi.org/10.1002%2Fanie.200803189
11,https://doi.org/10.1071%2FEA9700237
12,https://doi.org/10.1038%2Fnature11241
13,https://doi.org/10.1038%2Fs41467-017-01670-6
14,https://doi.org/10.1111%2Fj.1365-3059.2004.01090.x
15,https://doi.org/10.1016%2Fj.cropro.2006.10.017
16,https://doi.org/10.1111%2Fj.1396-0296.2004.04024.x
17,https://doi.org/10.1002%2F14356007.a11_141
18,https://doi.org/10.1021%2Fjf011218n
19,https://doi.org/10.1002%2F%28SICI%291099-1026%28199611%2911%3A6%3C353%3A%3AAID-FFJ596%3E3.0.CO%3B2-9
20,https://doi.org/10.1021%2Fie101499e
21,https://doi.org/10.1126%2Fscience.1085255
