,url
0,https://doi.org/10.1007%2Fbf02899000
1,https://doi.org/10.1080%2F10408398.2012.688076
2,https://doi.org/10.1007%2Fs12231-010-9115-2
3,https://doi.org/10.1038%2Fs41438-020-00375-0
4,https://doi.org/10.1038%2Fs41438-018-0040-3
5,https://doi.org/10.3389%2Ffpls.2019.01104
6,https://doi.org/10.1093%2Fjxb%2F49.318.101
7,https://doi.org/10.1007/978-0-387-30443-4_5
8,https://doi.org/10.1007%2F978-0-387-30443-4_5
9,https://doi.org/10.1007/s00122-016-2832-x
10,https://doi.org/10.1007%2Fs00122-016-2832-x
11,https://doi.org/10.3945%2Fajcn.113.066688
12,https://doi.org/10.1093%2Fchemse%2Fbjq061
