,url
0,https://doi.org/10.3390%2Fgenes11080906
1,https://doi.org/10.3732%2Fajb.1300055
2,https://doi.org/10.1021%2Fjf048041s
3,https://doi.org/10.1021%2Fjf0510440
4,https://doi.org/10.1016%2F0048-4059%2878%2990039-5
5,https://doi.org/10.1021%2Fjf034085%2B
6,https://doi.org/10.1016%2F0014-5793%2888%2980894-9
7,https://doi.org/10.1038%2Fhortres.2014.15
8,https://doi.org/10.1038%2Fsj.ejcn.1601329
9,https://doi.org/10.1111%2Fj.1398-9995.2010.02346.x
10,https://doi.org/10.1111%2Fj.1398-9995.2012.02827.x
11,https://doi.org/10.3390%2Fnu5041169
12,https://doi.org/10.1016%2FS0022-2275%2820%2941501-9
