,url
0,https://doi.org/10.1016%2Fj.tig.2006.07.008
1,https://doi.org/10.1111%2Fj.1365-313X.2006.02997.x
2,https://doi.org/10.1111%2Fj.1749-6632.2002.tb02903.x
3,https://doi.org/10.1016%2FS0031-9422%2803%2900518-1
4,https://doi.org/10.1089%2F109662003772519831
5,https://doi.org/10.1021%2Fjf060325k
6,https://doi.org/10.1080%2F07388551.2018.1555514
7,https://doi.org/10.1016%2Fj.wasman.2017.11.011
8,https://doi.org/10.1021%2Fjf0204102
9,https://doi.org/10.1016%2Fj.foodchem.2016.07.163
10,https://doi.org/10.1021%2Fjf030113c
11,https://doi.org/10.1021%2Fjf061538c
12,https://doi.org/10.1021%2Fjf040295q
13,https://doi.org/10.1021%2Fjf060338y
14,https://doi.org/10.1080%2F09637480701581551
15,https://doi.org/10.1021%2Fjf061722y
16,https://doi.org/10.1093%2Faje%2Fkwm274
17,https://doi.org/10.1055%2Fs-2004-835376
18,https://doi.org/10.1111%2Fj.1749-6632.2002.tb02911.x
