,url
0,https://doi.org/10.1079%2F9780851995106.0005
1,https://doi.org/10.1111%2Fj.1365-2621.1986.tb13869.x
2,https://doi.org/10.1016%2Fj.foodchem.2011.09.059
3,https://doi.org/10.1093%2Fjxb%2Ferp251
4,https://doi.org/10.1371%2Fjournal.pone.0083556
5,https://doi.org/10.1590%2FS1678-91992011000100002
6,https://doi.org/10.1021%2Fjf0712503
7,https://doi.org/10.1021%2Fjf9027014
8,https://doi.org/10.2174%2F1872213X08666141107170159
9,https://doi.org/10.1111%2F1750-3841.13915
10,https://doi.org/10.1104%2Fpp.108.123273
11,https://doi.org/10.1021%2Fjf304444s
12,https://doi.org/10.1021%2Fjf60200a044
13,https://doi.org/10.1021%2Fjf950686s
14,https://doi.org/10.1007%2Fs10384-009-0786-0
15,https://doi.org/10.4039%2Fn06-098
16,https://doi.org/10.1023%2FA%3A1008647700251
