,url
0,https://doi.org/10.2307%2F3558435
1,https://doi.org/10.1073%2Fpnas.0507400102
2,https://doi.org/10.17226%2F1398
3,https://doi.org/10.3732%2Fajb.95.2.252
4,https://doi.org/10.1080%2F07352689709701946
5,https://doi.org/10.2225%2Fvol10-issue3-fulltext-14
6,https://doi.org/10.1007%2Fs12230-009-9097-8
7,https://doi.org/10.1094%2FPDIS-05-11-0458
8,https://doi.org/10.1073%2Fpnas.1533501100
9,https://doi.org/10.1534%2Fg3.113.005595
10,https://doi.org/10.1007%2Fs12230-008-9017-3
11,https://doi.org/10.1007%2F978-1-4419-7347-4_10
12,https://doi.org/10.1093%2Fqje%2Fqjr009
13,https://doi.org/10.1093%2Fjn%2F17.1.77
14,https://doi.org/10.1016%2Fj.jada.2005.01.003
15,https://doi.org/10.1111%2Fj.1744-7348.1991.tb04879.x
16,https://doi.org/10.1021%2Fjf020302f
17,https://doi.org/10.1038%2Fnature10452
18,https://doi.org/10.1007%2Fs11540-008-9107-0
19,https://doi.org/10.1525%2Fah.2003.77.4.582
20,https://doi.org/10.1353%2Fjsh%2F8.2.51
21,https://doi.org/10.1086%2F237272
22,https://doi.org/10.1073%2Fpnas.0507400102
