,url
0,https://doi.org/10.1002%2Fjsfa.6432
1,https://doi.org/10.1021%2Fjf9020575
2,https://doi.org/10.1021%2Fjf030196x
3,https://doi.org/10.1007%2FBF00022647
4,https://doi.org/10.3389%2Ffpls.2015.00056
5,https://doi.org/10.1080%2F14786419.2012.706294
6,https://doi.org/10.1016%2Fj.nut.2011.08.009
7,https://doi.org/10.17306%2Fj.afs.2014.3.7
8,https://doi.org/10.1021%2Fjf2052256
9,https://doi.org/10.1089%2Fars.2012.4901
10,https://doi.org/10.1021%2Fjf048001o
11,https://doi.org/10.1016%2Fj.phytochem.2004.05.003
12,https://doi.org/10.3168%2Fjds.2007-0313
13,https://doi.org/10.3233%2FJBR-2011-027
14,https://doi.org/10.1371%2Fjournal.pone.0088446
15,https://doi.org/10.21273%2FJASHS.133.6.859
16,https://doi.org/10.1093%2Fdnares%2Fdst049
17,https://doi.org/10.1038%2Fs41588-019-0356-4
18,https://doi.org/10.1159%2F000260084
19,https://doi.org/10.1093%2Fmp%2Fssp087
20,https://doi.org/10.1002%2Fpmic.200500469
