,url
0,https://doi.org/10.1104%2Fpp.111.173997
1,https://doi.org/10.21273%2FHORTSCI.42.5.1237
2,https://doi.org/10.2307%2F3558365
3,https://doi.org/10.1007%2FBF00225895
4,https://doi.org/10.1038%2Fnature11119
5,https://doi.org/10.1126%2Fscience.1222218
6,https://doi.org/10.1093%2Fjxb%2Feru165
7,https://doi.org/10.1038%2Fs41576-018-0002-5
8,https://doi.org/10.1002%2F9781118061015.ch9
9,https://doi.org/10.1007%2Fs10327-006-0299-3
10,https://doi.org/10.1371%2Fjournal.pone.0109328
11,https://doi.org/10.1246%2Fcl.1975.43
12,https://doi.org/10.1163%2F156854100509394
13,https://doi.org/10.1016%2Fj.apsoil.2010.09.005
14,https://doi.org/10.1016%2Fj.cropro.2006.03.008
15,https://doi.org/10.1007%2Fs002940050189
16,https://doi.org/10.3733%2Fca.v054n04p6
17,https://doi.org/10.1016%2Fj.disamonth.2009.03.009
18,https://doi.org/10.3945%2Fan.114.005231
19,https://doi.org/10.1007%2Fs10552-015-0659-4
20,https://doi.org/10.2903%2Fj.efsa.2011.2031
21,https://doi.org/10.1007%2FBF01054525
22,https://doi.org/10.1007%2Fs00216-008-2313-4
23,https://doi.org/10.1016%2Fj.cub.2012.04.016
